Tier,Country,City,University,Latitude,Longitude,Course,MinCGPA,MinIELTS,GRE,TuitionUSD,LivingCostUSD,AvgSalaryUSD,AcceptanceRate,JobMarketScore,ROI,VisaDifficulty,SelectionDifficulty
Tier3,India,Delhi,Delhi Institute of Technology 1,28.4894,77.0651,AI & Data Science,9.0,6.1,336,8604,8347,118783,18,67,7.01,9,128.4
Tier3,India,Delhi,Delhi School of Technology 2,28.5166,77.1733,Computer Science,6.4,7.1,306,59953,16546,95282,77,89,1.25,6,83.9
Tier1,India,Delhi,Delhi Polytechnic University 3,28.6355,77.1399,Electrical,8.3,6.4,302,49093,16714,48605,28,100,0.74,8,119.1
Tier3,India,Delhi,Delhi College of Engineering 4,28.4943,77.2739,Computer Science,6.1,8.0,293,55727,20856,111223,17,100,1.45,1,106.0
Tier2,India,Delhi,Delhi School of Technology 5,28.7625,77.3531,Mechanical,8.6,6.5,315,54704,20280,58096,32,86,0.77,5,113.0
Tier3,India,Delhi,Delhi Polytechnic University 6,28.7299,77.3225,Civil,6.3,6.1,303,33643,8560,84943,29,83,2.01,7,105.4
Tier1,India,Delhi,Delhi Polytechnic University 7,28.698,77.2814,AI & Data Science,8.3,7.9,332,38100,12451,86372,72,80,1.71,6,99.1
Tier1,India,Delhi,Delhi University of Engineering 8,28.6989,77.1862,Computer Science,8.3,7.0,299,16840,17745,118185,31,68,3.42,3,110.0
Tier2,India,Delhi,Delhi School of Technology 9,28.5998,77.3093,AI & Data Science,7.6,7.4,294,22607,18333,61468,54,50,1.5,10,110.6
Tier3,India,Delhi,Delhi Polytechnic University 10,28.7291,77.1758,Civil,7.5,6.6,298,2753,15795,74002,28,100,3.99,9,117.9
Tier2,India,Delhi,Delhi Institute of Technology 11,28.7564,77.1555,Computer Science,7.4,6.6,298,25558,16942,87646,49,93,2.06,2,92.9
Tier3,India,Delhi,Delhi Institute of Technology 12,28.7633,77.2348,Computer Science,7.4,6.5,304,55494,17071,71488,50,90,0.99,5,98.0
Tier3,India,Delhi,Delhi Institute of Technology 13,28.5442,77.3386,Civil,8.7,6.4,323,19928,21764,48600,40,81,1.17,6,111.1
Tier2,India,Delhi,Delhi Institute of Technology 14,28.5687,77.1688,Electrical,7.1,7.3,317,1271,13894,55788,59,97,3.68,3,91.2
Tier2,India,Delhi,Delhi University of Engineering 15,28.6222,77.2315,Computer Science,7.6,6.7,307,31094,12047,84672,6,93,1.96,7,125.8
Tier1,India,Delhi,Delhi College of Engineering 16,28.5221,77.3127,Civil,6.7,7.8,322,31732,10200,91871,51,76,2.19,1,91.2
Tier2,India,Delhi,Delhi Technical University 17,28.6865,77.0739,Electrical,9.2,7.2,326,48416,19205,75831,31,84,1.12,2,113.3
Tier2,India,Delhi,Delhi Institute of Technology 18,28.6198,77.3305,Civil,8.4,7.9,330,13254,9195,68825,11,50,3.07,8,134.1
Tier2,India,Delhi,Delhi Institute of Technology 19,28.6929,77.0888,Computer Science,8.2,7.8,336,43805,9126,103799,41,79,1.96,2,105.7
Tier1,India,Delhi,Delhi School of Technology 20,28.5288,77.1602,Electrical,7.2,6.2,301,36108,20728,44121,27,91,0.78,4,105.3
Tier3,India,Delhi,Delhi National Institute of Technology 21,28.5693,77.339,Mechanical,6.1,6.6,329,33827,16678,48863,86,75,0.97,9,81.9
Tier1,India,Delhi,Delhi University of Engineering 22,28.4831,77.2016,Civil,7.5,6.8,291,7993,12936,118608,86,69,5.67,9,89.7
Tier2,India,Delhi,Delhi University of Engineering 23,28.6654,77.329,Mechanical,8.3,7.0,298,11206,11413,105972,46,55,4.68,4,104.5
Tier1,India,Delhi,Delhi Technical University 24,28.5706,77.1832,Mechanical,6.6,7.9,332,3310,21707,129101,24,53,5.16,4,110.6
Tier2,India,Delhi,Delhi Technical University 25,28.6913,77.086,Computer Science,8.5,6.8,331,44963,14797,50720,33,56,0.85,9,121.2
Tier3,India,Delhi,Delhi Technical University 26,28.7048,77.0836,AI & Data Science,8.8,7.3,319,58457,13553,113806,58,60,1.58,8,110.2
Tier1,India,Delhi,Delhi Institute of Technology 27,28.5423,77.144,AI & Data Science,8.7,7.3,307,4212,12397,125727,26,66,7.57,7,123.7
Tier3,India,Delhi,Delhi Polytechnic University 28,28.7007,77.1391,Electrical,8.4,6.7,321,20762,12941,115492,50,51,3.43,9,111.8
Tier2,India,Delhi,Delhi College of Engineering 29,28.761,77.3414,Mechanical,8.7,7.2,316,7948,10756,49665,69,86,2.66,1,89.8
Tier3,India,Delhi,Delhi College of Engineering 30,28.6522,77.1423,Electrical,7.9,8.0,291,18718,18860,117441,73,57,3.13,5,95.0
Tier3,India,Delhi,Delhi Institute of Technology 31,28.4679,77.1118,AI & Data Science,7.9,7.0,310,48398,12610,78391,21,98,1.28,8,123.0
Tier3,India,Delhi,Delhi Polytechnic University 32,28.7409,77.2389,AI & Data Science,9.2,7.8,320,29147,10019,51289,83,57,1.31,5,95.7
Tier1,India,Delhi,Delhi School of Technology 33,28.4971,77.2925,Electrical,8.1,7.8,305,50209,20878,126965,83,85,1.79,9,98.2
Tier3,India,Delhi,Delhi National Institute of Technology 34,28.5912,77.2939,Mechanical,8.7,7.1,293,17260,15928,61255,38,77,1.85,10,122.9
Tier2,India,Delhi,Delhi University of Engineering 35,28.7051,77.3291,Civil,9.2,6.4,321,38656,13490,87706,86,90,1.68,7,92.6
Tier2,India,Delhi,Delhi University of Engineering 36,28.6905,77.333,Civil,7.9,6.6,323,24714,20893,100048,23,57,2.19,8,120.4
Tier2,India,Delhi,Delhi University of Engineering 37,28.6515,77.2483,AI & Data Science,8.0,7.6,293,32738,14303,61964,16,77,1.32,3,118.4
Tier3,India,Delhi,Delhi Technical University 38,28.5613,77.0705,Mechanical,7.1,7.5,297,26113,10427,76756,52,81,2.1,1,91.5
Tier3,India,Delhi,Delhi College of Engineering 39,28.552,77.0608,AI & Data Science,9.2,7.2,312,52344,16177,128632,66,68,1.88,4,99.8
